team_name,rarity,date,frequency,team_rating,starting_price,price_1,price_2,price_3,price_4,price_5,price_6
Into The Breach,1,6/24/2023,1,3,1.11,0.8,0.56,0.31,0.48,0.39,0.37
The MongolZ,1,6/24/2023,2,2,0.7,0.23,0.14,0.12,0.17,0.24,0.14
Fluxo,1,6/24/2023,1,3,1.32,0.66,0.34,0.22,0.29,0.25,0.2
Complexity Gaming,1,6/24/2023,2,2,0.89,0.39,0.25,0.17,0.41,0.26,0.29
MOUZ,1,6/24/2023,2,2,8.8,10.82,8.33,5.94,5.91,5.14,5.29
Grayhound Gaming,1,6/24/2023,2,3,0.4,0.19,0.14,0.11,0.16,0.18,0.15
ENCE,1,6/24/2023,2,2,0.45,0.21,0.16,0.14,0.22,0.19,0.16
FaZe Clan,1,6/24/2023,3,1,1.62,0.93,0.44,0.41,0.89,0.73,0.52
Team Liquid,1,6/24/2023,3,1,0.7,0.36,0.23,0.18,0.29,0.24,0.19
Fnatic,1,6/24/2023,3,1,1.46,1.42,1.37,0.83,1.21,0.75,0.8
Apeks,1,6/24/2023,1,3,2.1,4.15,3.21,1.6,2.19,1.55,1.58
GamerLegion,1,6/24/2023,2,3,1.4,1.28,0.65,0.4,0.52,0.5,0.36
paiN Gaming,1,6/24/2023,2,3,1.1,1.01,0.64,0.33,0.42,0.55,0.28
OG,1,6/24/2023,2,3,0.61,0.29,0.22,0.15,0.22,0.32,0.18
forZe eSports,1,6/24/2023,2,3,1.15,0.84,0.42,0.28,0.44,0.4,0.35
G2 Esports,1,6/24/2023,3,1,1.74,1.34,1.02,0.69,1.01,0.9,0.71
Ninjas in Pyjamas,1,6/24/2023,3,1,0.68,0.31,0.24,0.18,0.26,0.27,0.2
9INE,1,6/24/2023,1,3,1.89,1.9,1.21,0.74,0.96,0.76,0.91
Bad News Eagles,1,6/24/2023,2,3,0.47,0.31,0.23,0.17,0.24,0.24,0.24
Heroic,1,6/24/2023,2,2,0.81,0.47,0.33,0.19,0.25,0.28,0.18
Vitality,1,6/24/2023,3,1,0.91,0.41,0.35,0.2,0.3,0.27,0.21
FURIA,1,6/24/2023,3,1,0.91,0.61,0.44,0.36,0.5,0.49,0.39
Monte,1,6/24/2023,1,3,6.26,2.85,1.78,0.85,1.34,1.02,0.94
Natus Vincere,1,6/24/2023,3,1,2.46,1.86,1.28,0.96,1.25,0.97,0.87
G2 Esports,2,6/24/2023,3,1,27.98,28.94,27.18,23.22,26.86,19.8,21.66
Vitality,2,6/24/2023,3,1,10.04,10.23,9.55,7.33,7.5,4.83,5.37
Grayhound Gaming,2,6/24/2023,2,3,4.15,3.03,2.07,1.86,2.3,1.48,1.29
The MongolZ,2,6/24/2023,2,2,11.05,5.72,4.47,3.58,4.22,3.55,2.85
ENCE,2,6/24/2023,2,2,4.79,3.19,2.74,2.66,3.24,2.3,2.05
OG,2,6/24/2023,2,3,6.05,5.64,3.57,3.37,4.56,3.58,2.89
Bad News Eagles,2,6/24/2023,2,3,6.11,5.99,4.96,3.47,3.98,4.25,3.76
Heroic,2,6/24/2023,2,2,9.71,10.72,9.91,6.39,7.1,5.56,5.5
Ninjas in Pyjamas,2,6/24/2023,3,1,6.82,5.96,4.88,4.25,6.42,4.58,3.85
GamerLegion,2,6/24/2023,2,3,16.32,13.59,13.2,12.07,12.94,10.76,10.96
Team Liquid,2,6/24/2023,3,1,15.8,11.21,8.8,6.8,8.82,8.03,7.3
paiN Gaming,2,6/24/2023,2,3,13.73,15.38,15.21,11.75,13.54,11.64,13.29
Complexity Gaming,2,6/24/2023,2,2,17.33,13.57,11.6,9.34,11.54,9.81,10.02
Into The Breach,2,6/24/2023,1,3,13.3,17.35,16.68,11.43,12.07,12.28,13.21
FaZe Clan,2,6/24/2023,3,1,17.83,14.84,13.37,9.4,14.19,11.25,10.48
FURIA,2,6/24/2023,3,1,16.18,17.21,15.87,14.53,14.55,12.12,11.46
Fnatic,2,6/24/2023,3,1,16.89,23.61,29.76,21.62,24.77,21.01,31.9
Monte,2,6/24/2023,1,3,37.09,35.84,33.39,22.01,23.72,20.02,30.11
MOUZ,2,6/24/2023,2,2,57.65,84.81,72.96,61.14,69.73,68.11,64.75
Fluxo,2,6/24/2023,1,3,17.95,13.95,11.12,6.99,8.74,7.45,6.8
forZe eSports,2,6/24/2023,2,3,13.63,12.97,9.43,7.07,8.45,7.26,8.56
9INE,2,6/24/2023,1,3,41.17,50.05,44.36,37.38,34.24,32.17,36.99
Natus Vincere,2,6/24/2023,3,1,19.21,17.76,16.37,14.01,15.8,11.74,12.2
Apeks,2,6/24/2023,1,3,30.04,50.28,48.37,34.52,36.63,35.34,43.28
Team Liquid,3,6/24/2023,3,1,271.96,306.13,251,253.2,251.6,205.11,205.87
Apeks,3,6/24/2023,1,3,576,1102,1015,798.7,742.97,610.3,667
Vitality,3,6/24/2023,3,1,209.8,284.03,249,232.22,216.62,150.3,148.23
G2 Esports,3,6/24/2023,3,1,418.66,503.25,467.65,452.25,492.53,306.12,312.04
ENCE,3,6/24/2023,2,2,49.04,66.42,51.59,49.89,60.8,41.75,36.59
Into The Breach,3,6/24/2023,1,3,131.34,242.24,205.54,188.28,177.67,135.01,144.87
Heroic,3,6/24/2023,2,2,170.21,270.7,231.59,220.16,201.74,140.66,129.87
Bad News Eagles,3,6/24/2023,2,3,56.43,82.44,74.46,61.95,60.17,53.36,53.41
The MongolZ,3,6/24/2023,2,2,99.15,100.12,78.89,72.22,73.36,52.87,50.7
Grayhound Gaming,3,6/24/2023,2,3,103.01,154.4,120.6,128.22,117.5,79.2,73
forZe eSports,3,6/24/2023,2,3,153.12,192.5,177.3,187.9,170.09,130.8,140.28
OG,3,6/24/2023,2,3,181.5,276.11,202.47,169.22,171.11,124,138
Monte,3,6/24/2023,1,3,228.1,320.4,256.6,235.4,214.77,154.5,182.95
Ninjas in Pyjamas,3,6/24/2023,3,1,130.3,167.8,125.1,109.8,110.36,85.47,83.56
Complexity Gaming,3,6/24/2023,2,2,213.2,302.67,261.42,245.4,241.3,175.9,172.83
